City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,meadow lakes,70.4305,-6.0083,0.24,73,100,5.64,SJ,1698546479
349,yel'nya,61.0463,28.8992,1.51,80,91,1.45,RU,1698546479
350,gornopravdinsk,-27.7572,23.9513,7.71,56,0,9.37,ZA,1698546479
351,puerto lempira,72.4147,-85.8696,-8.91,91,100,0.96,CA,1698546480
352,prince rupert,63.0177,159.7612,-8.45,79,0,3.6,RU,1698546480
353,vanino,53.0996,-92.0397,-6.21,75,93,1.74,CA,1698546481
354,motueka,65.7436,55.3682,-9.71,82,100,3.08,RU,1698546481
355,sosua,61.916,128.205,-5.5,94,100,4.57,RU,1698546482
356,juba,-26.2116,-68.7687,-6.28,51,0,2.78,CL,1698546482
357,songea,44.28,81.873,2.04,72,100,3.04,CN,1698546483
358,adler,-19.6199,117.031,26.3,84,51,4.02,AU,1698546483
359,ornskoldsvik,62.1296,22.3517,-6.35,89,13,0.74,FI,1698546483
